Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
loginpet,Edge Chromium 124,,,19-05-2024 14:37:36,19-05-2024 14:37:49,12.347s,PASSED
,,,,,,,
Test Cases/loginpet,Edge Chromium 124,,,19-05-2024 14:37:36,19-05-2024 14:37:49,12.116s,PASSED
"openBrowser("""")",Edge Chromium 124,,,19-05-2024 14:37:37,19-05-2024 14:37:42,5.184s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 124,,,19-05-2024 14:37:42,19-05-2024 14:37:43,0.877s,PASSED
maximizeWindow(),Edge Chromium 124,,,19-05-2024 14:37:43,19-05-2024 14:37:43,0.166s,PASSED
"click(findTestObject(""Object Repository/loginpet/Page_JPetStore Demo/a_Enter the Store""))",Edge Chromium 124,,,19-05-2024 14:37:43,19-05-2024 14:37:45,1.446s,PASSED
"click(findTestObject(""Object Repository/loginpet/Page_JPetStore Demo/img""))",Edge Chromium 124,,,19-05-2024 14:37:45,19-05-2024 14:37:45,0.843s,PASSED
"click(findTestObject(""Object Repository/loginpet/Page_JPetStore Demo/a_RP-LI-02""))",Edge Chromium 124,,,19-05-2024 14:37:45,19-05-2024 14:37:46,0.729s,PASSED
"click(findTestObject(""Object Repository/loginpet/Page_JPetStore Demo/a_Add to Cart""))",Edge Chromium 124,,,19-05-2024 14:37:46,19-05-2024 14:37:48,1.487s,PASSED
"click(findTestObject(""Object Repository/loginpet/Page_JPetStore Demo/a_Proceed to Checkout""))",Edge Chromium 124,,,19-05-2024 14:37:48,19-05-2024 14:37:48,0.715s,PASSED
closeBrowser(),Edge Chromium 124,,,19-05-2024 14:37:48,19-05-2024 14:37:49,0.261s,PASSED
