Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login,Edge Chromium 124,,,19-05-2024 10:51:23,19-05-2024 10:51:29,6.879s,PASSED
,,,,,,,
Test Cases/login,Edge Chromium 124,,,19-05-2024 10:51:23,19-05-2024 10:51:29,6.728s,PASSED
"openBrowser("""")",Edge Chromium 124,,,19-05-2024 10:51:23,19-05-2024 10:51:25,2.560s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/"")",Edge Chromium 124,,,19-05-2024 10:51:25,19-05-2024 10:51:26,0.593s,PASSED
"setText(findTestObject(""Object Repository/login/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_db77ac""), ""standard_user"")",Edge Chromium 124,,,19-05-2024 10:51:26,19-05-2024 10:51:27,0.830s,PASSED
"setEncryptedText(findTestObject(""Object Repository/login/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_3423e9""), ""qcu24s4901FyWDTwXGr6XA=="")",Edge Chromium 124,,,19-05-2024 10:51:27,19-05-2024 10:51:27,0.376s,PASSED
"click(findTestObject(""Object Repository/login/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_0dff71""))",Edge Chromium 124,,,19-05-2024 10:51:27,19-05-2024 10:51:28,0.871s,PASSED
"click(findTestObject(""Object Repository/login/Page_Swag Labs/div_Open Menu_header_label""))",Edge Chromium 124,,,19-05-2024 10:51:28,19-05-2024 10:51:28,0.302s,PASSED
"click(findTestObject(""Object Repository/login/Page_Swag Labs/button_Open Menu""))",Edge Chromium 124,,,19-05-2024 10:51:28,19-05-2024 10:51:29,0.341s,PASSED
"click(findTestObject(""Object Repository/login/Page_Swag Labs/a_Logout""))",Edge Chromium 124,,,19-05-2024 10:51:29,19-05-2024 10:51:29,0.377s,PASSED
closeBrowser(),Edge Chromium 124,,,19-05-2024 10:51:29,19-05-2024 10:51:29,0.228s,PASSED
