Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
pet1,Edge Chromium 124,,,19-05-2024 14:45:50,19-05-2024 14:46:12,21.580s,PASSED
,,,,,,,
Test Cases/pet1,Edge Chromium 124,,,19-05-2024 14:45:50,19-05-2024 14:46:12,21.294s,PASSED
"openBrowser("""")",Edge Chromium 124,,,19-05-2024 14:45:51,19-05-2024 14:45:58,7.193s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/actions/Catalog.action"")",Edge Chromium 124,,,19-05-2024 14:45:58,19-05-2024 14:46:00,1.699s,PASSED
"click(findTestObject(""Object Repository/pet1/Page_JPetStore Demo/img""))",Edge Chromium 124,,,19-05-2024 14:46:00,19-05-2024 14:46:02,1.848s,PASSED
"click(findTestObject(""Object Repository/pet1/Page_JPetStore Demo/a_Return to Main Menu""))",Edge Chromium 124,,,19-05-2024 14:46:02,19-05-2024 14:46:03,0.772s,PASSED
"setText(findTestObject(""Object Repository/pet1/Page_JPetStore Demo/input__keyword""), ""birds"")",Edge Chromium 124,,,19-05-2024 14:46:03,19-05-2024 14:46:04,1.080s,PASSED
"sendKeys(findTestObject(""Object Repository/pet1/Page_JPetStore Demo/input__keyword""), Keys.chord(ENTER))",Edge Chromium 124,,,19-05-2024 14:46:04,19-05-2024 14:46:05,0.769s,PASSED
"click(findTestObject(""Object Repository/pet1/Page_JPetStore Demo/input__searchProducts""))",Edge Chromium 124,,,19-05-2024 14:46:05,19-05-2024 14:46:05,0.737s,PASSED
"click(findTestObject(""Object Repository/pet1/Page_JPetStore Demo/input__searchProducts""))",Edge Chromium 124,,,19-05-2024 14:46:05,19-05-2024 14:46:06,0.667s,PASSED
"click(findTestObject(""Object Repository/pet1/Page_JPetStore Demo/a_Return to Main Menu""))",Edge Chromium 124,,,19-05-2024 14:46:06,19-05-2024 14:46:07,0.601s,PASSED
"click(findTestObject(""Object Repository/pet1/Page_JPetStore Demo/img_1""))",Edge Chromium 124,,,19-05-2024 14:46:07,19-05-2024 14:46:07,0.667s,PASSED
"click(findTestObject(""Object Repository/pet1/Page_JPetStore Demo/a_RP-SN-01""))",Edge Chromium 124,,,19-05-2024 14:46:07,19-05-2024 14:46:08,0.661s,PASSED
"click(findTestObject(""Object Repository/pet1/Page_JPetStore Demo/a_Add to Cart""))",Edge Chromium 124,,,19-05-2024 14:46:08,19-05-2024 14:46:09,0.701s,PASSED
"click(findTestObject(""Object Repository/pet1/Page_JPetStore Demo/a_Proceed to Checkout""))",Edge Chromium 124,,,19-05-2024 14:46:09,19-05-2024 14:46:09,0.721s,PASSED
"setText(findTestObject(""Object Repository/pet1/Page_JPetStore Demo/input_Need a user name and password_username""), ""rosh1"")",Edge Chromium 124,,,19-05-2024 14:46:09,19-05-2024 14:46:10,0.747s,PASSED
"setEncryptedText(findTestObject(""Object Repository/pet1/Page_JPetStore Demo/input_Need a user name and password_password""), ""zXRQAqd5nmk="")",Edge Chromium 124,,,19-05-2024 14:46:10,19-05-2024 14:46:11,0.525s,PASSED
"click(findTestObject(""Object Repository/pet1/Page_JPetStore Demo/input_Need a user name and password_signon""))",Edge Chromium 124,,,19-05-2024 14:46:11,19-05-2024 14:46:11,0.754s,PASSED
closeBrowser(),Edge Chromium 124,,,19-05-2024 14:46:11,19-05-2024 14:46:12,0.331s,PASSED
